fsa,total_private_dwellings,occupied_by_type_total,single_detached,semi_detached,row_house,apt_duplex,apt_lt5,apt_5plus,other_single_attached,movable,median_income
H3X,11454,10525,1545,480,35,2175,3190,3080,25,0,75500
H3Y,3665,3430,1070,1190,625,130,200,215,0,0,240000
H3Z,6609,5885,110,230,620,130,1650,3125,20,0,79500
H4A,13091,12120,250,1340,485,3965,4895,1155,25,10,78000
H4B,11150,10525,495,1015,70,820,4730,3390,5,0,51200
H4C,10371,9490,35,30,345,215,7290,1535,50,0,64500
H4E,15696,14735,415,130,565,5740,7140,645,75,30,59200
H4G,16856,15815,170,115,350,1505,12220,1420,30,0,61200
H4H,9482,8970,725,170,85,5525,2165,280,5,5,71000
H4J,7771,7340,1165,375,5,495,4640,655,5,5,58000
H4K,4158,4000,1525,180,535,75,1660,15,5,0,90000
H4L,15190,14175,1485,905,175,1985,5410,4180,30,0,67500
H4M,4896,4585,965,760,90,180,2065,515,0,5,85000
H4N,12999,12070,215,265,235,610,3125,7615,5,0,61600
H4P,4787,4425,180,170,50,10,1200,2815,0,0,65500
H4R,12654,12130,1010,280,2435,175,5010,3220,0,0,89000
H4S,226,215,15,0,155,0,10,0,0,35,106000
H4T,2,0,0,0,0,0,0,0,0,0,
H4V,9834,9175,845,670,5,2095,3510,2035,10,5,59600
H4W,11415,10710,1400,1100,655,655,985,5910,0,5,75500
H4X,2654,2535,850,530,60,220,660,215,0,0,105000
H7A,7584,7460,4685,890,435,255,1175,5,15,5,101000
H7B,1077,1060,830,100,5,40,85,0,0,0,98000
H7C,3760,3510,1165,250,145,170,1540,210,30,0,72000
H7E,10345,10145,5800,950,400,120,2615,255,0,0,100000
H7G,9435,9075,3140,365,20,615,3845,1065,30,0,72000
H7H,5078,5015,2980,585,365,95,985,0,5,5,103000
H7J,905,875,780,15,0,45,30,0,5,0,95000
H7K,8406,8210,5270,775,150,65,1830,120,5,5,104000
H7L,13780,13555,7480,2480,720,500,1925,375,75,5,107000
H7M,10868,10625,5435,980,215,160,3805,5,15,5,86000
H7N,21408,20350,3650,745,340,815,11555,3210,35,10,65000
H7P,14684,14335,8100,1540,570,90,2160,1855,20,0,92000
H7R,11519,11260,7730,1160,380,545,1090,315,25,5,94000
H7S,3332,3245,1105,100,50,5,1860,125,0,0,69000
H7T,12129,11490,2925,1175,275,90,3765,3245,15,0,81000
H7V,10593,9735,1725,190,185,690,4375,2545,20,5,56000
H7W,17932,16910,4715,1665,325,395,6955,2840,10,5,71000
H7X,9843,9545,6090,840,205,160,1865,380,5,0,107000
H7Y,3442,3390,2395,460,165,25,300,40,0,0,129000
H8N,14934,14145,50,665,790,5315,5215,2105,5,5,65000
H8P,11083,10475,880,575,20,6645,2085,260,10,0,65000
H8R,14411,13600,490,390,540,6905,5150,120,5,0,62000
H8S,12363,11635,530,315,740,2335,6490,1080,105,45,60400
H8T,7055,6830,2195,280,305,800,3155,95,10,0,79000
H8Y,7852,7625,2815,305,640,145,3290,425,5,0,75500
H8Z,5822,5635,3065,410,340,55,1010,755,5,0,85000
H9A,5392,5265,3915,75,140,10,910,215,0,0,108000
H9B,7757,7580,3180,130,1830,35,2105,305,0,0,87000
H9C,4211,4140,3230,200,180,80,440,0,5,0,116000
H9E,1256,1205,830,110,0,40,145,0,0,75,103000
H9G,5852,5735,3390,215,990,5,330,810,0,0,94000
H9H,9638,9375,5155,285,445,125,2875,415,15,50,87000
H9J,7684,7530,5630,145,660,40,935,110,0,0,109000
H9K,3087,3025,1800,180,320,25,695,5,5,0,113000
H9P,1547,1510,985,100,135,25,265,0,0,0,89000
H9R,10270,9920,4945,840,1105,30,1080,1920,0,5,93000
H9S,11143,10620,4705,270,355,270,3275,1725,20,5,79500
H9W,6915,6755,5795,90,520,5,345,0,0,0,138000
H9X,4057,3790,2450,250,185,105,680,75,45,0,104000
J0A,9020,8240,6600,185,100,370,870,0,30,90,69000
J0B,32981,28140,23050,610,160,1495,2550,5,85,185,71000
J0C,10332,9785,7870,295,30,335,960,5,35,260,71500
J0E,28558,23190,17850,805,150,850,2700,5,315,515,74000
J0G,9267,8500,7270,210,35,345,480,0,30,135,66000
J0H,22956,22055,17300,625,150,865,2645,15,170,285,75000
J0J,19527,17745,14750,480,90,485,1425,85,145,285,77000
J0K,78999,67140,54905,1630,390,2725,6435,30,380,645,65000
J0L,34423,33385,21375,2860,745,1635,5335,25,205,1215,86000
J0M,7885,6645,3095,2305,225,240,730,0,0,50,102000
J0N,20731,20250,14895,740,205,715,3415,0,100,190,88000
J0P,18635,17820,13445,855,300,505,2555,40,60,60,86000
J0R,21353,18065,12955,810,360,1520,2125,5,110,180,84000
J0S,16563,14780,11735,475,120,620,1480,40,95,215,70000
J0T,42290,26030,22235,435,150,1555,1380,15,55,210,62400
J0V,17146,12905,10705,455,120,525,925,5,85,85,63600
J0W,11615,8135,7045,125,30,295,510,5,40,95,57200
J0X,32403,21785,18950,665,235,580,1110,0,85,160,69000
J0Y,14125,12280,9175,520,200,660,1155,0,65,505,79500
J0Z,17493,15060,12430,555,240,560,1105,5,50,120,73500
J1A,4382,4115,2425,160,40,330,1125,0,15,15,62400
J1C,2822,2755,1870,105,10,195,525,0,20,35,81000
J1E,13498,12660,3330,1045,300,710,7040,195,40,0,54000
J1G,9625,9140,4020,200,195,795,3755,130,45,0,60000
J1H,17353,15600,2480,450,220,1310,10515,585,15,20,45600
J1J,7824,7300,2520,255,180,380,3170,755,5,30,65500
J1K,4157,3450,1545,45,60,220,1575,5,0,0,56400
J1L,8523,8215,1810,280,305,70,4975,775,0,0,58800
J1M,3020,2625,1265,70,0,115,1165,0,5,0,60400
J1N,14900,14515,7950,1250,855,585,3645,0,15,215,87000
J1R,4288,4220,2935,415,265,150,285,0,55,120,95000
J1S,3638,3440,2165,80,10,425,710,0,35,15,67000
J1T,4117,3875,2155,25,10,575,1050,0,10,45,50000
J1X,18571,15965,8945,615,380,1100,4640,40,145,105,67000
J1Z,2269,2185,1815,80,0,145,105,0,0,35,82000
J2A,5093,4950,3785,330,30,195,500,0,25,80,80000
J2B,15949,15380,6855,810,170,1895,5545,5,70,30,58800
J2C,15040,14605,5410,780,395,1090,6425,480,35,0,56800
J2E,2052,1995,1035,180,210,40,410,0,10,105,68500
J2G,14957,14405,4390,285,25,1870,7350,100,380,0,49200
J2H,9256,9065,4935,1380,330,135,1950,105,60,160,89000
J2J,8601,8430,3040,850,135,255,3460,310,20,370,64000
J2K,8632,8270,3950,350,75,560,3165,0,65,105,61600
J2L,6263,5075,2760,430,75,145,1545,0,20,95,100000
J2M,3091,2900,2685,20,0,20,25,0,15,125,97000
J2N,4697,4445,2380,210,5,355,1385,0,50,50,68000
J2R,4516,4405,2890,320,60,240,860,0,30,5,81000
J2S,15567,14685,2995,745,405,1245,9010,140,115,35,53200
J2T,8076,7840,3370,500,185,790,2915,0,60,25,68000
J2W,11325,11165,8025,480,210,55,2200,0,45,155,102000
J2X,8758,8470,5220,205,175,455,2280,0,110,5,78500
J2Y,2226,2185,1630,10,0,10,30,0,10,490,98000
J3A,5560,5360,420,140,275,40,4480,0,5,0,45200
J3B,16383,15730,6195,560,280,1395,6785,155,305,60,66000
J3E,11761,11610,7760,675,115,185,2835,5,35,5,107000
J3G,14303,14020,8340,615,550,750,3660,5,50,45,91000
J3H,10992,10800,7435,470,230,165,2485,5,20,0,104000
J3L,21567,21125,13010,1370,380,775,5470,5,110,5,100000
J3M,4784,4685,2375,405,255,250,1280,0,40,80,78000
J3N,6635,6560,4520,350,50,120,1300,0,30,185,107000
J3P,12702,12150,6715,665,200,1175,3245,65,55,30,60000
J3R,7314,7050,3645,405,175,570,2125,85,35,5,62000
J3T,3923,3755,2160,240,45,160,1080,0,25,35,66000
J3V,10566,10385,7325,495,215,80,2090,150,20,0,115000
J3X,8538,8410,5260,705,130,180,2110,0,15,5,103000
J3Y,27993,27235,14465,1945,485,985,8500,250,70,540,86000
J3Z,1842,1830,1565,50,15,80,105,5,5,0,131000
J4B,17733,17290,10215,1345,810,225,4395,290,10,0,110000
J4G,4827,4730,1325,220,355,150,2655,15,10,0,79500
J4H,8582,8195,1205,280,70,735,3885,1950,70,0,62400
J4J,15546,14960,2845,385,195,980,10380,110,50,5,58400
J4K,14003,13290,1995,210,55,1350,7565,1875,240,0,58400
J4L,14338,13860,3095,850,945,105,8540,315,5,0,65000
J4M,4989,4940,2655,805,260,30,1190,0,0,0,104000
J4N,5258,5120,1065,255,45,30,3675,50,0,0,87000
J4P,5771,5450,1165,415,90,330,1990,1425,35,0,75500
J4R,5199,4975,1390,300,150,395,2170,570,0,0,73500
J4S,3166,3060,775,60,310,0,1420,495,0,0,84000
J4T,9007,8695,2755,300,120,1055,4395,5,60,5,66000
J4V,7541,7300,2820,430,885,170,2735,220,25,0,73000
J4W,7523,7320,2770,1035,675,40,2205,600,0,0,76500
J4X,7471,7160,3350,395,475,35,1300,1605,0,0,93000
J4Y,10222,9835,3885,1060,480,245,3610,545,0,0,91000
J4Z,12061,11570,3915,1080,530,325,5210,495,10,0,79000
J5A,11491,11305,6990,875,325,230,2835,0,25,25,101000
J5B,3557,3475,2010,240,130,135,935,10,10,0,87000
J5C,7016,6905,3815,445,215,275,2025,140,5,0,89000
J5J,7490,7210,5480,260,5,1220,230,0,15,0,84000
J5K,6807,6635,5595,175,30,695,95,0,5,35,100000
J5L,9534,9330,5880,510,125,750,2020,0,35,5,88000
J5M,9605,9280,6515,510,35,660,1360,5,30,175,78500
J5N,83,75,30,15,0,5,20,0,0,0,
J5R,20269,19780,10745,920,1130,415,6070,415,80,5,100000
J5T,5973,5840,4390,190,95,210,800,0,35,120,82000
J5V,3857,3660,1745,75,60,435,1285,0,50,5,47600
J5W,10875,10665,6315,965,200,615,2295,0,80,195,86000
J5X,3699,3585,2215,360,125,240,630,0,15,0,79000
J5Y,11237,11080,7335,460,195,130,2845,100,20,0,103000
J5Z,11799,11595,5545,1275,390,485,3740,145,20,0,86000
J6A,14891,14645,8435,585,70,175,4355,1000,25,5,81000
J6E,23104,22010,9040,685,495,1825,9570,215,160,10,58800
J6J,10391,10080,6125,655,85,445,2750,0,20,0,76000
J6K,10021,9835,6460,430,180,260,2420,75,10,0,82000
J6N,7479,7275,4040,375,55,765,1890,0,15,135,72500
J6R,5472,5400,3840,400,155,160,815,0,25,0,100000
J6S,12005,11480,5445,840,290,1420,3425,0,45,5,64000
J6T,8957,8595,3705,395,100,1275,3110,0,15,0,59600
J6V,5613,5475,2985,365,170,75,1085,760,5,35,105000
J6W,13677,13445,7035,725,55,875,4715,0,40,0,83000
J6X,9732,9590,6105,885,55,440,1650,295,20,140,95000
J6Y,8145,7975,6050,165,280,395,945,130,10,0,112000
J6Z,7795,7640,5130,415,380,220,1495,5,5,0,101000
J7A,5368,5280,4260,50,215,70,670,0,5,0,120000
J7B,4496,4435,3855,5,10,90,240,240,0,0,145000
J7C,18343,17970,10530,1190,270,1385,4445,50,20,85,98000
J7E,13886,13295,3790,410,325,950,6970,835,25,5,65500
J7G,7383,7230,3820,530,425,95,2280,75,10,0,88000
J7H,3706,3585,1350,90,230,15,1890,0,0,0,85000
J7J,11847,11480,5320,400,30,2150,3470,100,10,0,91000
J7K,14977,14770,7895,725,520,525,5070,0,40,0,90000
J7L,5313,5210,3895,360,185,340,405,0,30,0,99000
J7M,8884,8755,5930,700,295,490,1135,0,5,190,91000
J7N,13660,13310,8065,470,110,1465,3110,50,45,0,89000
J7P,11068,10850,5695,460,30,310,4250,70,25,5,77000
J7R,15804,15390,8690,1460,470,575,3770,380,45,0,85000
J7T,10677,10520,9215,245,165,175,610,0,15,95,115000
J7V,27935,27110,15920,1295,1475,775,6930,575,100,40,91000
J7W,5786,5640,3895,245,425,50,1010,0,0,15,95000
J7X,2453,2410,1155,140,300,105,695,0,5,10,79500
J7Y,13774,13295,3685,310,315,1440,7145,340,60,5,56800
J7Z,15464,14740,4330,745,215,1965,6355,995,125,10,54800
J8A,5597,4680,4275,60,10,280,40,5,0,10,84000
J8B,8002,6895,4070,335,335,780,1320,5,50,15,69000
J8C,7246,5755,2915,125,195,1035,1410,0,25,35,59200
J8E,8848,5435,2785,225,165,775,1310,65,30,85,68000
J8G,5104,3820,3185,65,15,220,270,0,10,65,64500
J8H,7901,7100,3795,195,120,675,2250,0,60,5,57200
J8L,9214,8550,5075,1295,425,440,1260,5,30,20,79500
J8M,5389,5240,2345,1595,245,240,790,0,20,10,91000
J8N,7543,5610,4710,290,35,310,225,10,10,10,100000
J8P,16341,15680,6250,2250,625,1655,4570,150,55,120,74500
J8R,11315,11050,5845,2590,330,450,1815,20,5,0,107000
J8T,18592,17670,7035,1150,1575,935,6540,400,30,10,71000
J8V,10576,10220,7035,890,410,540,1310,0,10,35,122000
J8X,7174,6130,485,175,385,785,2135,2145,20,0,53600
J8Y,13386,12235,3220,610,400,1610,4935,1425,25,10,58800
J8Z,7798,7385,1380,965,410,70,3255,1300,0,0,69000
J9A,10439,9940,2230,1900,615,255,3910,1025,5,0,92000
J9B,3375,3040,2790,130,10,65,45,5,0,0,146000
J9E,4140,3705,2655,150,55,195,580,0,50,20,52800
J9H,14045,13465,5290,2525,1235,575,3310,515,10,0,89000
J9J,16388,15715,6200,2210,1595,95,5615,0,10,0,108000
J9L,7211,6685,4060,180,40,675,1575,0,60,90,57600
J9P,15977,15110,7800,610,280,1590,4350,225,40,220,75500
J9T,6222,5920,3100,255,175,550,1765,0,50,20,71500
J9V,1734,1580,1065,70,75,195,175,0,0,0,63600
J9X,12407,11520,3610,920,95,1305,5370,60,120,40,61200
J9Y,4455,4170,3520,130,5,230,115,0,10,165,110000
J9Z,3717,3510,2030,90,120,325,930,0,10,5,60000
K0A,43737,42230,36185,1440,1190,715,2165,215,70,255,115000
K0B,9489,8900,7455,405,85,165,665,0,30,100,79000
K0C,22714,21675,18425,665,380,360,1455,45,60,290,84000
K0E,18426,16490,14440,565,235,225,830,65,70,65,83000
K0G,19411,16330,14420,425,440,145,700,0,45,150,94000
K0H,25346,19080,17940,250,165,95,300,0,35,290,92000
K0J,19885,14900,13600,285,60,105,630,5,35,185,76000
K0K,53153,47030,42135,915,710,450,2370,50,135,270,83000
K0L,48786,33070,30515,240,380,310,1240,15,100,270,79000
K0M,37422,23615,21840,170,245,165,955,15,60,165,80000
K1A,416,365,0,0,0,5,35,320,0,0,73500
K1B,6866,6705,2245,155,2980,95,205,1010,5,0,96000
K1C,14312,14100,7945,920,3515,380,1330,0,10,0,117000
K1E,5863,5785,3875,450,955,65,210,240,0,0,110000
K1G,15333,14705,5515,310,2270,130,1060,5345,5,70,83000
K1H,7289,7005,3945,290,165,115,485,2005,0,0,103000
K1J,11423,11105,3430,725,3585,75,1125,2160,15,0,94000
K1K,15235,14445,2620,995,3610,550,2770,3875,25,0,73500
K1L,10797,9705,1280,220,490,1040,4440,2190,50,0,63200
K1M,3341,3050,1010,330,300,80,700,610,15,0,128000
K1N,17122,14475,595,535,1245,270,4700,7130,10,0,64000
K1P,568,445,0,0,0,0,15,425,0,0,87000
K1R,12836,11580,665,375,915,555,3295,5690,85,0,74000
K1S,15662,14390,4305,1195,1165,705,2905,4005,50,60,106000
K1T,13967,13650,4940,1290,5505,40,830,960,80,0,107000
K1V,23359,22095,6955,1450,7080,220,1370,5020,0,0,93000
K1W,4730,4635,2615,150,1550,105,210,0,5,0,141000
K1X,1575,1540,1160,10,310,5,10,0,0,40,133000
K1Y,10737,10125,3165,885,320,735,1860,3140,20,0,99000
K1Z,11642,10790,2425,990,985,350,2185,3860,10,0,77000
K2A,7738,7490,3450,545,275,140,1045,2035,5,0,105000
K2B,15737,15035,2505,955,2000,420,1005,8125,0,20,72000
K2C,13056,12395,5040,920,1750,195,900,3590,0,0,86000
K2E,8461,8130,3390,625,1010,25,1095,1980,0,0,89000
K2G,18451,17935,9410,1165,5405,90,1165,695,5,0,114000
K2H,11530,10950,4820,465,3855,30,490,1055,0,235,100000
K2J,27759,27345,13640,2130,10065,10,1320,175,0,0,122000
K2K,9716,9450,3890,210,3335,10,485,1530,0,0,116000
K2L,7309,7200,3560,1185,2080,10,315,50,0,0,106000
K2M,10069,9950,5045,390,4215,0,235,65,0,0,133000
K2P,14113,12550,235,100,275,90,2890,8945,20,0,66500
K2R,424,415,410,0,5,0,0,0,0,0,164000
K2S,13924,13710,9590,490,2810,30,480,180,5,125,137000
K2T,4064,3955,1965,165,1540,0,205,85,0,0,141000
K2V,3637,3505,1645,205,1400,10,245,5,0,5,128000
K2W,2665,2630,1795,55,775,0,5,0,0,0,159000
K4A,22000,21480,10950,420,8275,645,855,325,5,10,128000
K4B,1741,1700,1550,40,0,75,30,0,5,0,129000
K4C,1636,1600,1480,15,5,55,25,0,5,5,143000
K4K,6763,6610,4460,300,545,295,885,65,15,55,104000
K4M,5393,5220,4550,30,555,25,55,0,10,0,146000
K4P,3551,3500,3135,75,120,30,15,0,10,120,155000
K4R,3220,3180,2670,225,10,65,200,0,0,5,127000
K6A,6325,6065,2720,695,265,830,1505,0,30,20,58000
K6H,14112,13515,6835,1300,700,1240,2545,805,85,10,61200
K6J,8263,7980,4060,735,430,505,1830,345,30,45,60400
K6K,1414,1395,1010,180,55,50,100,0,5,0,83000
K6T,264,265,240,0,0,0,0,0,0,20,108000
K6V,13705,13100,7320,990,845,110,3035,690,95,15,68500
K7A,7814,7530,5210,635,160,120,1150,45,30,185,74500
K7C,8631,8245,5630,640,765,25,985,0,30,160,99000
K7G,4305,3925,2700,230,140,70,655,115,5,5,77500
K7H,8360,7140,5335,315,175,25,1085,75,35,95,82000
K7K,16786,15480,5515,1455,1310,1140,3800,2040,55,165,67000
K7L,12191,9405,3755,270,265,440,2360,2265,25,30,72500
K7M,22585,21675,10295,1365,1800,640,2690,4860,20,5,77500
K7N,3411,3280,2220,120,470,0,325,135,0,0,91000
K7P,9538,9325,6370,1145,620,90,500,580,10,0,105000
K7R,6845,6340,4565,265,265,50,1165,0,15,5,77000
K7S,6399,6180,4045,460,555,100,930,55,5,30,83000
K7V,6881,6290,4630,250,330,120,840,0,35,90,70000
K8A,11919,11285,8210,605,315,255,1855,0,30,10,75000
K8B,176,175,165,0,0,0,5,0,0,0,136000
K8H,6342,5985,4050,435,835,35,610,0,10,0,102000
K8N,13782,13245,8995,360,670,370,1770,950,60,55,79000
K8P,10592,10040,4760,315,1110,310,2330,1170,45,0,64500
K8R,791,770,755,5,0,0,5,0,0,0,97000
K8V,12523,12090,8105,710,360,230,1830,510,35,315,76500
K9A,11937,11490,7435,430,1125,180,1810,365,40,115,82000
K9H,14391,13455,7150,215,1095,1150,3370,450,20,5,64000
K9J,19998,18885,11660,460,1105,1220,2415,1980,25,20,72500
K9K,5226,5065,3710,65,570,205,475,35,0,0,98000
K9L,3099,3000,2285,65,275,95,155,120,0,0,94000
K9V,12949,12220,8270,410,440,680,1630,725,30,35,72500
L0A,5729,5495,5270,25,35,25,125,0,10,0,114000
L0B,6072,5735,5500,5,50,80,40,0,10,50,111000
L0C,3537,3380,3190,35,15,35,90,0,15,0,117000
L0E,10072,8640,7690,60,190,55,500,0,45,95,90000
L0G,15980,15515,13080,495,805,305,665,135,20,10,118000
L0H,465,440,420,0,0,10,0,0,0,0,118000
L0J,1529,1455,1350,0,0,15,90,0,0,0,198000
L0K,22207,15850,14420,115,550,130,510,5,55,75,88000
L0L,19252,15670,14900,75,60,180,350,10,40,55,106000
L0M,14086,13270,10885,855,675,200,460,60,25,115,103000
L0N,894,825,810,0,0,10,0,0,5,5,118000
L0P,2777,2650,2560,15,25,20,25,0,5,5,135000
L0R,29717,29070,21580,1095,4885,240,1045,70,75,80,110000
L0S,28128,24550,20405,680,1410,190,1275,130,50,410,95000
L1A,7030,6780,4750,270,425,90,770,445,15,5,86000
L1B,5280,5130,4400,10,210,55,370,45,5,45,101000
L1C,18207,17720,12350,945,1870,480,1565,475,20,15,109000
L1E,9806,9640,7890,110,1000,320,315,5,5,0,123000
L1G,19291,18540,8340,805,2335,965,1805,4230,50,0,75500
L1H,14480,13685,7540,840,595,1380,2230,1030,75,0,73500
L1J,17776,17155,7625,2565,1515,1025,2330,2085,5,0,78000
L1K,13824,13520,10335,1110,1530,250,55,240,0,0,119000
L1L,3986,3770,3190,15,475,25,55,0,5,0,112000
L1M,6992,6900,5945,10,805,25,115,0,5,0,154000
L1N,19596,19115,11185,475,2460,695,2015,2275,10,5,100000
L1P,7132,6960,4960,465,785,35,35,665,5,0,132000
L1R,13260,13095,9825,435,2085,115,275,365,0,5,135000
L1S,16037,15665,8060,915,2385,660,1280,2355,5,0,100000
L1T,15281,14985,11115,795,1895,585,310,280,0,0,130000
L1V,18257,17835,9680,1470,3135,750,570,2215,5,5,118000
L1W,7323,7090,3875,565,850,615,360,805,5,15,106000
L1X,7516,7335,5275,455,995,435,145,30,0,0,129000
L1Y,730,695,630,15,0,15,30,0,0,0,133000
L1Z,8957,8840,6385,555,1750,135,15,5,0,0,134000
L2A,7783,7275,5615,210,110,390,610,310,20,0,72500
L2E,9017,8340,4775,430,270,660,1640,550,15,0,60800
L2G,13412,12530,7940,700,720,465,2345,340,20,0,69000
L2H,10594,10340,7475,740,1190,90,555,265,5,20,91000
L2J,6369,6205,4435,200,640,45,435,440,5,0,81000
L2M,14869,14445,8310,530,1520,385,1725,1940,25,0,72000
L2N,13827,13245,7565,1120,1110,255,1645,1530,20,0,78500
L2P,6706,6430,3310,740,640,290,1155,285,10,0,71000
L2R,13117,12000,5885,415,450,940,2680,1535,90,5,61200
L2S,7837,7585,4510,510,955,365,895,225,30,90,82000
L2T,5309,4875,3075,115,95,265,335,985,10,0,74500
L2V,8400,7740,5130,755,350,320,1015,165,10,0,80000
L2W,686,680,410,5,235,0,20,0,0,0,110000
L3B,11617,11045,7210,530,355,785,1780,305,75,5,66500
L3C,14273,13870,9170,1170,810,330,1180,1175,40,5,78500
L3K,9086,8480,6270,155,165,510,1085,190,95,10,70000
L3L,257,240,235,0,0,5,5,0,0,0,162000
L3M,11465,11240,7190,255,2600,210,600,345,35,5,104000
L3P,12978,12630,9880,260,890,460,235,900,5,0,115000
L3R,21994,21100,12330,815,2645,1385,300,3625,0,0,93000
L3S,15734,14975,10080,630,225,3160,235,650,0,0,106000
L3T,20672,19865,8390,440,2900,470,480,7190,0,0,95000
L3V,22293,20345,13535,425,1275,990,2820,920,45,340,77500
L3X,14261,13945,9160,1555,2465,400,240,105,20,5,129000
L3Y,17365,16705,9280,710,1415,1605,2125,1405,165,5,93000
L3Z,13290,12820,9450,940,685,830,630,260,30,0,114000
L4A,17366,16910,12605,830,1805,455,945,250,15,0,122000
L4B,13301,12880,6000,460,1970,225,5,4215,0,0,97000
L4C,30129,28600,13935,815,2420,1500,1270,8610,50,0,86000
L4E,17103,16620,11995,945,3215,270,65,130,0,0,127000
L4G,22255,21510,12980,1495,3615,670,1535,1205,5,5,119000
L4H,22218,21860,15735,2920,2740,315,45,100,0,5,144000
L4J,26995,26250,14735,800,2760,980,265,6710,0,5,115000
L4K,8679,7765,2775,605,830,490,80,2985,0,0,92000
L4L,20428,19845,12630,1120,1565,930,680,2910,10,5,110000
L4M,19372,18400,10250,680,1595,1515,2710,1615,10,25,87000
L4N,37801,36750,22375,1675,4270,2195,3715,2495,20,5,97000
L4P,11365,10815,8540,415,610,525,620,105,5,5,102000
L4R,8901,8425,5665,285,430,470,955,535,85,15,70500
L4S,11480,11210,7355,450,2905,140,360,0,0,0,119000
L4T,12302,11435,2525,1345,965,1245,4110,1215,10,25,84000
L4V,1,0,0,0,0,0,0,0,0,0,
L4W,7358,7150,3790,180,985,250,205,1735,0,5,105000
L4X,7074,6765,1615,430,745,85,575,3130,0,185,81000
L4Y,9118,8865,2990,1050,880,110,765,3065,0,0,89000
L4Z,13241,12815,3555,1410,2385,385,1275,3800,0,5,100000
L5A,18817,18135,2805,1165,2025,235,1300,10595,5,0,80000
L5B,29048,27315,3785,1215,885,730,1255,19445,0,0,79000
L5C,10210,9880,4480,1425,1070,265,1150,1490,0,10,102000
L5E,5539,5315,2475,160,490,275,280,1630,0,0,98000
L5G,9226,8715,3720,195,430,340,700,3310,15,5,95000
L5H,6541,6275,4275,155,695,100,350,675,20,0,139000
L5J,10960,10655,4000,1670,1600,140,1285,1945,10,0,107000
L5K,4732,4585,2155,355,420,45,290,1325,0,0,102000
L5L,15694,15205,6950,1600,3330,330,630,2365,0,0,110000
L5M,33246,32265,14940,4835,6760,830,1235,3655,5,5,118000
L5N,27101,26555,12665,4865,4865,505,1520,2120,5,5,123000
L5R,13438,12690,3885,625,2225,1105,220,4625,0,15,99000
L5S,6,0,0,0,0,0,0,0,0,0,
L5T,5,0,0,0,0,0,0,0,0,0,
L5V,13962,13630,6840,2245,2850,725,265,700,0,0,126000
L5W,6470,6305,3200,1925,855,185,145,0,0,0,142000
L6A,27080,26515,17550,2515,3520,765,1100,1050,20,0,133000
L6B,10373,10135,5310,1440,2470,530,265,115,0,0,121000
L6C,16291,15915,9795,1730,4080,30,100,185,0,0,118000
L6E,11924,11700,6380,1670,2570,30,280,760,0,0,115000
L6G,4916,4520,90,0,200,15,5,4215,0,0,61200
